mysql: [Warning] Using a password on the command line interface can be insecure.
total_sales	no_batch
3	0
total_oi	no_cost
16	16
id	name	product_counter	batch_stock	drift
1	Wooden Train Set	25	0	25
2	Stacking Rainbow	30	292	-262
3	Cuddly Bear	40	125	-85
4	Bunny Plush	35	158	-123
5	Math Learning Set	20	172	-152
6	Alphabet Puzzle	45	183	-138
7	Mega Block Set	15	284	-269
8	Colorful Blocks	8	273	-265
9	Baby Activity Gym	12	269	-257
10	RC Racing Car	18	48	-30
12	Wooden Building Blocks Set	50	0	50
13	Educational E-Book Bundle	9999	0	9999
14	Kids Winter Jacket	28	0	28
15	Baby Care Gift Set	20	0	20
