mysql: [Warning] Using a password on the command line interface can be insecure.
TABLE_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	COLUMN_NAME	REFERENCED_COLUMN_NAME
inventory_items	inventory_items_product_variant_id_foreign	product_variants	product_variant_id	id
inventory_items	inventory_items_purchase_batch_id_foreign	purchase_batches	purchase_batch_id	id
inventory_items	inventory_items_product_id_foreign	products	product_id	id
inventory_movements	inventory_movements_batch_id_foreign	purchase_batches	batch_id	id
inventory_movements	inventory_movements_inventory_item_id_foreign	inventory_items	inventory_item_id	id
inventory_movements	inventory_movements_product_id_foreign	products	product_id	id
inventory_movements	inventory_movements_product_variant_id_foreign	product_variants	product_variant_id	id
inventory_movements	inventory_movements_user_id_foreign	users	user_id	id
order_items	order_items_purchase_batch_id_foreign	purchase_batches	purchase_batch_id	id
order_items	order_items_product_variant_id_foreign	product_variants	product_variant_id	id
order_items	order_items_product_id_foreign	products	product_id	id
order_items	order_items_order_id_foreign	orders	order_id	id
orders	orders_user_id_foreign	users	user_id	id
product_attribute_values	product_attribute_values_product_attribute_id_foreign	product_attributes	product_attribute_id	id
product_attribute_values	product_attribute_values_product_id_foreign	products	product_id	id
product_variants	product_variants_product_id_foreign	products	product_id	id
purchase_batches	purchase_batches_partner_id_foreign	partners	partner_id	id
purchase_batches	purchase_batches_product_id_foreign	products	product_id	id
purchase_batches	purchase_batches_product_variant_id_foreign	product_variants	product_variant_id	id
variant_attributes	variant_attributes_product_attribute_id_foreign	product_attributes	product_attribute_id	id
variant_attributes	variant_attributes_product_attribute_value_id_foreign	product_attribute_values	product_attribute_value_id	id
variant_attributes	variant_attributes_product_variant_id_foreign	product_variants	product_variant_id	id
