mysql: [Warning] Using a password on the command line interface can be insecure.
TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX
inventory_items	inventory_items_location_bin_number_index	location	1	1
inventory_items	inventory_items_location_bin_number_index	bin_number	1	2
inventory_items	inventory_items_product_id_foreign	product_id	1	1
inventory_items	inventory_items_product_variant_id_location_index	product_variant_id	1	1
inventory_items	inventory_items_product_variant_id_location_index	location	1	2
inventory_items	inventory_items_purchase_batch_id_index	purchase_batch_id	1	1
inventory_items	inventory_items_quantity_on_hand_index	quantity_on_hand	1	1
inventory_items	PRIMARY	id	0	1
inventory_movements	inventory_movements_batch_id_index	batch_id	1	1
inventory_movements	inventory_movements_inventory_item_id_index	inventory_item_id	1	1
inventory_movements	inventory_movements_movement_number_index	movement_number	1	1
inventory_movements	inventory_movements_movement_number_unique	movement_number	0	1
inventory_movements	inventory_movements_product_id_created_at_index	product_id	1	1
inventory_movements	inventory_movements_product_id_created_at_index	created_at	1	2
inventory_movements	inventory_movements_product_id_movement_type_index	product_id	1	1
inventory_movements	inventory_movements_product_id_movement_type_index	movement_type	1	2
inventory_movements	inventory_movements_user_id_foreign	user_id	1	1
inventory_movements	PRIMARY	id	0	1
inventory_movements	variant_movement_idx	product_variant_id	1	1
inventory_movements	variant_movement_idx	movement_type	1	2
order_items	order_items_order_id_foreign	order_id	1	1
order_items	order_items_product_created_index	product_id	1	1
order_items	order_items_product_created_index	created_at	1	2
order_items	order_items_product_variant_id_foreign	product_variant_id	1	1
order_items	order_items_purchase_batch_id_foreign	purchase_batch_id	1	1
order_items	PRIMARY	id	0	1
orders	orders_created_at_index	created_at	1	1
orders	orders_order_number_unique	order_number	0	1
orders	orders_status_index	status	1	1
orders	orders_user_id_foreign	user_id	1	1
orders	PRIMARY	id	0	1
product_attribute_values	pav_attr_value_unique	product_attribute_id	0	1
product_attribute_values	pav_attr_value_unique	value	0	2
product_attribute_values	PRIMARY	id	0	1
product_attribute_values	product_attribute_values_product_id_product_attribute_id_index	product_id	1	1
product_attribute_values	product_attribute_values_product_id_product_attribute_id_index	product_attribute_id	1	2
product_attributes	PRIMARY	id	0	1
product_attributes	product_attributes_slug_unique	slug	0	1
product_variants	PRIMARY	id	0	1
product_variants	product_variants_barcode_unique	barcode	0	1
product_variants	product_variants_product_id_is_active_index	product_id	1	1
product_variants	product_variants_product_id_is_active_index	is_active	1	2
product_variants	product_variants_product_id_is_default_index	product_id	1	1
product_variants	product_variants_product_id_is_default_index	is_default	1	2
product_variants	product_variants_sku_index	sku	1	1
product_variants	product_variants_sku_unique	sku	0	1
product_variants	product_variants_stock_quantity_index	stock_quantity	1	1
products	PRIMARY	id	0	1
products	products_sku_unique	sku	0	1
products	products_slug_unique	slug	0	1
products	products_status_index	status	1	1
purchase_batches	PRIMARY	id	0	1
purchase_batches	purchase_batches_batch_number_index	batch_number	1	1
purchase_batches	purchase_batches_batch_number_unique	batch_number	0	1
purchase_batches	purchase_batches_expiry_date_index	expiry_date	1	1
purchase_batches	purchase_batches_partner_id_foreign	partner_id	1	1
purchase_batches	purchase_batches_product_id_purchase_date_index	product_id	1	1
purchase_batches	purchase_batches_product_id_purchase_date_index	purchase_date	1	2
purchase_batches	purchase_batches_product_id_remaining_quantity_index	product_id	1	1
purchase_batches	purchase_batches_product_id_remaining_quantity_index	remaining_quantity	1	2
purchase_batches	purchase_batches_status_index	status	1	1
purchase_batches	variant_stock_idx	product_variant_id	1	1
purchase_batches	variant_stock_idx	remaining_quantity	1	2
variant_attributes	attr_value_idx	product_attribute_id	1	1
variant_attributes	attr_value_idx	product_attribute_value_id	1	2
variant_attributes	PRIMARY	id	0	1
variant_attributes	variant_attr_unique	product_variant_id	0	1
variant_attributes	variant_attr_unique	product_attribute_id	0	2
variant_attributes	variant_attributes_product_attribute_value_id_foreign	product_attribute_value_id	1	1
