mysql: [Warning] Using a password on the command line interface can be insecure.
TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA
inventory_items	id	bigint unsigned	NO	PRI	NULL	auto_increment
inventory_items	product_id	bigint unsigned	NO	MUL	NULL	
inventory_items	product_variant_id	bigint unsigned	YES	MUL	NULL	
inventory_items	purchase_batch_id	bigint unsigned	NO	MUL	NULL	
inventory_items	quantity_on_hand	int	NO	MUL	0	
inventory_items	quantity_reserved	int	NO		0	
inventory_items	quantity_available	int	YES		NULL	VIRTUAL GENERATED
inventory_items	location	varchar(255)	NO	MUL	main	
inventory_items	bin_number	varchar(255)	YES		NULL	
inventory_items	aisle	varchar(255)	YES		NULL	
inventory_items	shelf	varchar(255)	YES		NULL	
inventory_items	unit_cost	decimal(10,2)	NO		NULL	
inventory_items	total_value	decimal(10,2)	YES		NULL	VIRTUAL GENERATED
inventory_items	created_at	timestamp	YES		NULL	
inventory_items	updated_at	timestamp	YES		NULL	
inventory_movements	id	bigint unsigned	NO	PRI	NULL	auto_increment
inventory_movements	movement_number	char(36)	NO	UNI	NULL	
inventory_movements	product_id	bigint unsigned	NO	MUL	NULL	
inventory_movements	product_variant_id	bigint unsigned	YES	MUL	NULL	
inventory_movements	batch_id	bigint unsigned	YES	MUL	NULL	
inventory_movements	inventory_item_id	bigint unsigned	YES	MUL	NULL	
inventory_movements	movement_type	varchar(255)	NO		NULL	
inventory_movements	quantity	int	NO		NULL	
inventory_movements	unit_cost	decimal(10,2)	YES		NULL	
inventory_movements	reference_type	varchar(255)	YES		NULL	
inventory_movements	reference_id	bigint unsigned	YES		NULL	
inventory_movements	user_id	bigint unsigned	YES	MUL	NULL	
inventory_movements	notes	text	YES		NULL	
inventory_movements	created_at	timestamp	YES		NULL	
inventory_movements	updated_at	timestamp	YES		NULL	
order_items	id	bigint unsigned	NO	PRI	NULL	auto_increment
order_items	order_id	bigint unsigned	NO	MUL	NULL	
order_items	product_id	bigint unsigned	NO	MUL	NULL	
order_items	product_variant_id	bigint unsigned	YES	MUL	NULL	
order_items	quantity	int unsigned	NO		NULL	
order_items	unit_price	decimal(10,2)	NO		NULL	
order_items	unit_cost	decimal(10,2)	YES		NULL	
order_items	purchase_batch_id	bigint unsigned	YES	MUL	NULL	
order_items	total_price	decimal(10,2)	NO		NULL	
order_items	profit	decimal(10,2)	YES		NULL	VIRTUAL GENERATED
order_items	created_at	timestamp	YES		NULL	
order_items	updated_at	timestamp	YES		NULL	
orders	id	bigint unsigned	NO	PRI	NULL	auto_increment
orders	order_number	varchar(30)	YES	UNI	NULL	
orders	user_id	bigint unsigned	YES	MUL	NULL	
orders	customer_name	varchar(255)	NO		NULL	
orders	customer_email	varchar(255)	YES		NULL	
orders	customer_phone	varchar(255)	NO		NULL	
orders	address_line	varchar(255)	NO		NULL	
orders	city	varchar(255)	NO		NULL	
orders	postal_code	varchar(255)	YES		NULL	
orders	notes	text	YES		NULL	
orders	subtotal	decimal(10,2)	YES		NULL	
orders	tax_amount	int unsigned	NO		0	
orders	total_amount	decimal(10,2)	NO		NULL	
orders	payment_method	varchar(255)	NO		cod	
orders	status	varchar(255)	NO	MUL	pending	
orders	status_notes	text	YES		NULL	
