mysql: [Warning] Using a password on the command line interface can be insecure.
id	order_id	product_id	unit_cost	purchase_batch_id	status	created_at
1	1	3	900.00	NULL	delivered	2026-02-03 17:38:38
2	1	6	500.00	NULL	delivered	2026-02-03 17:38:38
3	2	2	800.00	NULL	processing	2026-02-06 17:38:38
4	2	5	1800.00	NULL	processing	2026-02-06 17:38:38
5	3	1	1500.00	NULL	pending	2026-02-08 05:38:38
6	3	7	2000.00	NULL	pending	2026-02-08 05:38:38
7	4	10	3000.00	NULL	shipped	2026-02-07 17:38:38
8	4	4	650.00	NULL	shipped	2026-02-07 17:38:38
9	1	3	900.00	NULL	delivered	2026-02-03 17:38:38
10	1	6	500.00	NULL	delivered	2026-02-03 17:38:38
11	2	2	800.00	NULL	processing	2026-02-06 17:38:38
12	2	5	1800.00	NULL	processing	2026-02-06 17:38:38
13	3	1	1500.00	NULL	pending	2026-02-08 05:38:38
14	3	7	2000.00	NULL	pending	2026-02-08 05:38:38
15	4	10	3000.00	NULL	shipped	2026-02-07 17:38:38
16	4	4	650.00	NULL	shipped	2026-02-07 17:38:38
